Site,Latitude,Longitude,nearest_buoy,nearest_buoy_nm,dist_to_buoy_km,mean_fetch_km,max_fetch_km,weighted_fetch_km,wave_energy_kW_m,exposure_index_scaled
Old 18th,33.72253,-118.34414,46025,Santa Monica Basin,65.04598854552424,112.10484814836246,500,143.39150736311186,0.31521998459342254,0.37137309014994696
Old Marineland,33.73738,-118.39501,46025,Santa Monica Basin,60.258794344247406,111.48437123705014,500,95.56243806910625,0.30655521088613713,0.24749944107998625
PVR 2A,33.7234,-118.34996,46025,Santa Monica Basin,64.50186599787033,115.50195425599014,500,145.86935511794178,0.34313278035381567,0.3777905272391746
PVR 2B,33.72278,-118.34978,46025,Santa Monica Basin,64.52252490705747,115.53879381962737,500,145.91139938658426,0.34322306103141337,0.37789941869485416
PVR 2C,33.72254,-118.3491,46025,Santa Monica Basin,64.58700921574348,115.53964452546181,500,145.92550359577473,0.34323271572678077,0.37793594752314746
PVR 4B,33.72156,-118.34678,46025,Santa Monica Basin,64.80815870459247,115.5684762890237,500,145.9937680367434,0.3434322364590054,0.3781127472294627
PVR 4C,33.7211,-118.34674,46025,Santa Monica Basin,64.81497154858664,115.60008587277693,500,146.02660681009178,0.34352801809343575,0.37819779715298596
PVR 4D,33.72197,-118.34721,46025,Santa Monica Basin,64.76563554082108,115.5455926034715,500,145.96390921828194,0.34333490064321953,0.378035415162284
PVR 5A,33.72157,-118.34582,46025,Santa Monica Basin,64.89690590892003,115.55489883326923,500,145.99449006919224,0.34346379461235027,0.37811461723854933
PVR 5B,33.72099,-118.3454,46025,Santa Monica Basin,64.93968530511327,115.58979627837483,500,146.03644757204924,0.3435956576933036,0.3782232839774484
PVR 5C,33.72046,-118.34526,46025,Santa Monica Basin,64.9562764144443,115.62495590521716,500,146.0744237965494,0.3437103192416416,0.3783216395084294
PVR 6A,33.72102,-118.34388,46025,Santa Monica Basin,65.08009761504924,115.46035269739035,500,145.81775009778508,0.343270402286535,0.37765687416476823
PVR 6C,33.71998,-118.34387,46025,Santa Monica Basin,65.088196167342,115.6382671879403,500,146.10867971149227,0.34383876113312045,0.3784103597208198
PVR 6D,33.72051,-118.34391,46025,Santa Monica Basin,65.08081474756602,115.60321459210576,500,146.07270432558846,0.3437438587222722,0.37831718620951416
PVR 7A,33.7204,-118.3424,46025,Santa Monica Basin,65.22125900086449,115.47897223318932,500,145.85340241161407,0.3434093910992466,0.37774921094399005
PVR 7B,33.72019,-118.34245,46025,Santa Monica Basin,65.2180876425522,115.49542149281247,500,145.87181995085115,0.3434533253614023,0.3777969109688047
PVR 7C,33.71962,-118.34231,46025,Santa Monica Basin,65.23502588375739,115.53794709047497,500,145.92165102721654,0.3435992977306916,0.3779259696638113
PVR 8A,33.7193,-118.34009,46025,Santa Monica Basin,65.4426357084269,115.51880543736152,500,145.92614476362965,0.343677347225077,0.37793760809909066
PVR 8B,33.71884,-118.34057,46025,Santa Monica Basin,65.40151964150806,115.56261693215785,500,145.97128340547755,0.3437857983568913,0.37805451374585103
PVR 8C,33.71836,-118.34039,46025,Santa Monica Basin,65.42163564407299,115.5921369514739,500,146.00940598603066,0.3438881857118043,0.3781532483278695
Point Dume,33.99855,-118.8071,46025,Santa Monica Basin,34.84577756828198,152.60110738866172,500,131.66402587160584,0.4239726802423496,0.34099980569769556
Point Fermin,33.70563,-118.29799,46025,Santa Monica Basin,69.44576495021768,118.09493050367696,500,143.14568745096147,0.3567454336440228,0.3707364352875045
Point Loma Central,32.70985,-117.26707,46086,San Clemente Basin,74.818566977862,207.36202235274067,500,356.5459071251402,0.484989224526038,0.9234267617681995
Point Vicente West,33.73983,-118.4138,46025,Santa Monica Basin,58.509413600725495,179.16806929748674,500,259.15435006622346,0.4678352539546931,0.671190041723862
Portuguese Bend,33.7275,-118.35756,46025,Santa Monica Basin,63.773778661040325,112.15592127727079,500,143.3306426608903,0.3142909308948424,0.3712154552037724
Portuguese Point,33.73632,-118.37551,46025,Santa Monica Basin,62.06890061827169,138.7077912401128,500,177.2745744185571,0.3361812017433337,0.45912765489047824
Resort Point,33.76653,-118.42774,46025,Santa Monica Basin,57.199011999012065,165.66771481371273,500,249.29474358709177,0.3729046221219204,0.645654411384575
Ridges North,33.78818,-118.42397,46025,Santa Monica Basin,57.644342736691506,133.32282941740107,500,229.8251583499138,0.29932480487685253,0.5952296675037625
Ridges South,33.78578,-118.42594,46025,Santa Monica Basin,57.44659634446541,133.3688682118685,500,229.90533397531055,0.29995968990773647,0.5954373162711535
Rocky Point North,33.78074,-118.42977,46025,Santa Monica Basin,57.063412067681035,135.88014225802505,500,231.480964157696,0.3185903539454593,0.5995180785180014
Rocky Point South,33.77587,-118.43229,46025,Santa Monica Basin,56.807294747486054,167.10675506363995,500,249.91475961522434,0.38031614443493456,0.6472602057063197
SBI - Cat Canyon,33.46407,-119.04496,46025,Santa Monica Basin,32.26860421954046,151.18581980904833,500,105.11085060080292,0.42856701210375314,0.2722291027812406
